"Random_Effect","Site","Plot","Month","Design","Richness"
"1_C",1,"C","August","H",6
"1_C",1,"C","August","V",7
"1_C",1,"C","November","H",9
"1_C",1,"C","November","V",7
"1_C",1,"C","September","H",5
"1_C",1,"C","September","V",8
"1_N1",1,"N1","August","H",5
"1_N1",1,"N1","August","V",7
"1_N2",1,"N2","September","H",5
"1_N2",1,"N2","September","V",5
"1_N3",1,"N3","November","H",2
"1_N3",1,"N3","November","V",5
"2_C",2,"C","August","H",3
"2_C",2,"C","August","V",7
"2_C",2,"C","November","H",3
"2_C",2,"C","November","V",4
"2_C",2,"C","September","H",4
"2_C",2,"C","September","V",7
"2_N2",2,"N2","September","H",6
"2_N2",2,"N2","September","V",5
"2_N3",2,"N3","November","H",8
"2_N3",2,"N3","November","V",5
"3_C",3,"C","August","H",5
"3_C",3,"C","August","V",7
"3_C",3,"C","November","H",6
"3_C",3,"C","November","V",7
"3_C",3,"C","September","H",4
"3_C",3,"C","September","V",4
"3_N1",3,"N1","August","H",3
"3_N1",3,"N1","August","V",7
"3_N2",3,"N2","September","H",6
"3_N2",3,"N2","September","V",6
"3_N3",3,"N3","November","H",7
"3_N3",3,"N3","November","V",7
